score,outcome,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
townsend,cad,-1.5781104175267955,-1.5236435504572965,-1.469176683387798,-1.414709816318299,-1.3602429492488004,-1.3057760821793014,-1.2513092151098029,-1.1968423480403039,-1.1423754809708053,-1.0879086139013063,-1.0334417468318078,-0.9789748797623089,-0.9245080126928101,-0.8700411456233114,-0.8155742785538126,-0.7611074114843138,-0.706640544414815,-0.6521736773453163,-0.5977068102758175,-0.5432399432063187,-0.48877307613682,-0.4343062090673212,-0.37983934199782243,-0.32537247492832366,-0.2709056078588249,-0.21643874078932612,-0.16197187371982735,-0.10750500665032858,-0.05303813958082981,0.0014287274886689572,0.05589559455816773,0.1103624616276665,0.16482932869716527,0.21929619576666404,0.2737630628361628,0.3282299299056616,0.38269679697516024,0.437163664044659,0.491630531114158,0.5460973981836568,0.6005642652531553,0.6550311323226541,0.7094979993921531,0.7639648664616518,0.8184317335311504,0.8728986006006492,0.9273654676701482,0.9818323347396469,1.0362992018091455,1.0907660688786442,1.1452329359481432,1.199699803017642,1.2541666700871406,1.3086335371566393,1.3631004042261383,1.417567271295637,1.4720341383651356,1.5265010054346344,1.5809678725041334,1.6354347395736322,1.6899016066431307,1.7443684737126295,1.7988353407821285,1.8533022078516272,1.9077690749211258,1.9622359419906246,2.0167028090601233,2.0711696761296223,2.125636543199121,2.18010341026862,2.2345702773381184,2.2890371444076174,2.343504011477116,2.3979708785466145,2.4524377456161135,2.5069046126856125,2.561371479755111,2.61583834682461,2.670305213894109,2.7247720809636076,2.779238948033106,2.8337058151026047,2.8881726821721037,2.9426395492416026,2.997106416311101,3.0515732833806,3.106040150450099,3.1605070175195977,3.2149738845890963,3.269440751658595,3.323907618728094,3.378374485797593,3.4328413528670914,3.4873082199365903,3.5417750870060893,3.596241954075588,3.6507088211450864,3.705175688214585,3.759642555284084,3.814109422353583
townsend,stroke,-1.5781104175267955,-1.5236435504572965,-1.469176683387798,-1.414709816318299,-1.3602429492488004,-1.3057760821793014,-1.2513092151098029,-1.1968423480403039,-1.1423754809708053,-1.0879086139013063,-1.0334417468318078,-0.9789748797623089,-0.9245080126928101,-0.8700411456233114,-0.8155742785538126,-0.7611074114843138,-0.706640544414815,-0.6521736773453163,-0.5977068102758175,-0.5432399432063187,-0.48877307613682,-0.4343062090673212,-0.37983934199782243,-0.32537247492832366,-0.2709056078588249,-0.21643874078932612,-0.16197187371982735,-0.10750500665032858,-0.05303813958082981,0.0014287274886689572,0.05589559455816773,0.1103624616276665,0.16482932869716527,0.21929619576666404,0.2737630628361628,0.3282299299056616,0.38269679697516024,0.437163664044659,0.491630531114158,0.5460973981836568,0.6005642652531553,0.6550311323226541,0.7094979993921531,0.7639648664616518,0.8184317335311504,0.8728986006006492,0.9273654676701482,0.9818323347396469,1.0362992018091455,1.0907660688786442,1.1452329359481432,1.199699803017642,1.2541666700871406,1.3086335371566393,1.3631004042261383,1.417567271295637,1.4720341383651356,1.5265010054346344,1.5809678725041334,1.6354347395736322,1.6899016066431307,1.7443684737126295,1.7988353407821285,1.8533022078516272,1.9077690749211258,1.9622359419906246,2.0167028090601233,2.0711696761296223,2.125636543199121,2.18010341026862,2.2345702773381184,2.2890371444076174,2.343504011477116,2.3979708785466145,2.4524377456161135,2.5069046126856125,2.561371479755111,2.61583834682461,2.670305213894109,2.7247720809636076,2.779238948033106,2.8337058151026047,2.8881726821721037,2.9426395492416026,2.997106416311101,3.0515732833806,3.106040150450099,3.1605070175195977,3.2149738845890963,3.269440751658595,3.323907618728094,3.378374485797593,3.4328413528670914,3.4873082199365903,3.5417750870060893,3.596241954075588,3.6507088211450864,3.705175688214585,3.759642555284084,3.814109422353583
townsend,hf,-1.5781104175267955,-1.5236435504572965,-1.469176683387798,-1.414709816318299,-1.3602429492488004,-1.3057760821793014,-1.2513092151098029,-1.1968423480403039,-1.1423754809708053,-1.0879086139013063,-1.0334417468318078,-0.9789748797623089,-0.9245080126928101,-0.8700411456233114,-0.8155742785538126,-0.7611074114843138,-0.706640544414815,-0.6521736773453163,-0.5977068102758175,-0.5432399432063187,-0.48877307613682,-0.4343062090673212,-0.37983934199782243,-0.32537247492832366,-0.2709056078588249,-0.21643874078932612,-0.16197187371982735,-0.10750500665032858,-0.05303813958082981,0.0014287274886689572,0.05589559455816773,0.1103624616276665,0.16482932869716527,0.21929619576666404,0.2737630628361628,0.3282299299056616,0.38269679697516024,0.437163664044659,0.491630531114158,0.5460973981836568,0.6005642652531553,0.6550311323226541,0.7094979993921531,0.7639648664616518,0.8184317335311504,0.8728986006006492,0.9273654676701482,0.9818323347396469,1.0362992018091455,1.0907660688786442,1.1452329359481432,1.199699803017642,1.2541666700871406,1.3086335371566393,1.3631004042261383,1.417567271295637,1.4720341383651356,1.5265010054346344,1.5809678725041334,1.6354347395736322,1.6899016066431307,1.7443684737126295,1.7988353407821285,1.8533022078516272,1.9077690749211258,1.9622359419906246,2.0167028090601233,2.0711696761296223,2.125636543199121,2.18010341026862,2.2345702773381184,2.2890371444076174,2.343504011477116,2.3979708785466145,2.4524377456161135,2.5069046126856125,2.561371479755111,2.61583834682461,2.670305213894109,2.7247720809636076,2.779238948033106,2.8337058151026047,2.8881726821721037,2.9426395492416026,2.997106416311101,3.0515732833806,3.106040150450099,3.1605070175195977,3.2149738845890963,3.269440751658595,3.323907618728094,3.378374485797593,3.4328413528670914,3.4873082199365903,3.5417750870060893,3.596241954075588,3.6507088211450864,3.705175688214585,3.759642555284084,3.814109422353583
townsend,af,-1.5781104175267955,-1.5236435504572965,-1.469176683387798,-1.414709816318299,-1.3602429492488004,-1.3057760821793014,-1.2513092151098029,-1.1968423480403039,-1.1423754809708053,-1.0879086139013063,-1.0334417468318078,-0.9789748797623089,-0.9245080126928101,-0.8700411456233114,-0.8155742785538126,-0.7611074114843138,-0.706640544414815,-0.6521736773453163,-0.5977068102758175,-0.5432399432063187,-0.48877307613682,-0.4343062090673212,-0.37983934199782243,-0.32537247492832366,-0.2709056078588249,-0.21643874078932612,-0.16197187371982735,-0.10750500665032858,-0.05303813958082981,0.0014287274886689572,0.05589559455816773,0.1103624616276665,0.16482932869716527,0.21929619576666404,0.2737630628361628,0.3282299299056616,0.38269679697516024,0.437163664044659,0.491630531114158,0.5460973981836568,0.6005642652531553,0.6550311323226541,0.7094979993921531,0.7639648664616518,0.8184317335311504,0.8728986006006492,0.9273654676701482,0.9818323347396469,1.0362992018091455,1.0907660688786442,1.1452329359481432,1.199699803017642,1.2541666700871406,1.3086335371566393,1.3631004042261383,1.417567271295637,1.4720341383651356,1.5265010054346344,1.5809678725041334,1.6354347395736322,1.6899016066431307,1.7443684737126295,1.7988353407821285,1.8533022078516272,1.9077690749211258,1.9622359419906246,2.0167028090601233,2.0711696761296223,2.125636543199121,2.18010341026862,2.2345702773381184,2.2890371444076174,2.343504011477116,2.3979708785466145,2.4524377456161135,2.5069046126856125,2.561371479755111,2.61583834682461,2.670305213894109,2.7247720809636076,2.779238948033106,2.8337058151026047,2.8881726821721037,2.9426395492416026,2.997106416311101,3.0515732833806,3.106040150450099,3.1605070175195977,3.2149738845890963,3.269440751658595,3.323907618728094,3.378374485797593,3.4328413528670914,3.4873082199365903,3.5417750870060893,3.596241954075588,3.6507088211450864,3.705175688214585,3.759642555284084,3.814109422353583
townsend,pad,-1.5781104175267955,-1.5236435504572965,-1.469176683387798,-1.414709816318299,-1.3602429492488004,-1.3057760821793014,-1.2513092151098029,-1.1968423480403039,-1.1423754809708053,-1.0879086139013063,-1.0334417468318078,-0.9789748797623089,-0.9245080126928101,-0.8700411456233114,-0.8155742785538126,-0.7611074114843138,-0.706640544414815,-0.6521736773453163,-0.5977068102758175,-0.5432399432063187,-0.48877307613682,-0.4343062090673212,-0.37983934199782243,-0.32537247492832366,-0.2709056078588249,-0.21643874078932612,-0.16197187371982735,-0.10750500665032858,-0.05303813958082981,0.0014287274886689572,0.05589559455816773,0.1103624616276665,0.16482932869716527,0.21929619576666404,0.2737630628361628,0.3282299299056616,0.38269679697516024,0.437163664044659,0.491630531114158,0.5460973981836568,0.6005642652531553,0.6550311323226541,0.7094979993921531,0.7639648664616518,0.8184317335311504,0.8728986006006492,0.9273654676701482,0.9818323347396469,1.0362992018091455,1.0907660688786442,1.1452329359481432,1.199699803017642,1.2541666700871406,1.3086335371566393,1.3631004042261383,1.417567271295637,1.4720341383651356,1.5265010054346344,1.5809678725041334,1.6354347395736322,1.6899016066431307,1.7443684737126295,1.7988353407821285,1.8533022078516272,1.9077690749211258,1.9622359419906246,2.0167028090601233,2.0711696761296223,2.125636543199121,2.18010341026862,2.2345702773381184,2.2890371444076174,2.343504011477116,2.3979708785466145,2.4524377456161135,2.5069046126856125,2.561371479755111,2.61583834682461,2.670305213894109,2.7247720809636076,2.779238948033106,2.8337058151026047,2.8881726821721037,2.9426395492416026,2.997106416311101,3.0515732833806,3.106040150450099,3.1605070175195977,3.2149738845890963,3.269440751658595,3.323907618728094,3.378374485797593,3.4328413528670914,3.4873082199365903,3.5417750870060893,3.596241954075588,3.6507088211450864,3.705175688214585,3.759642555284084,3.814109422353583
townsend,vte,-1.5781104175267955,-1.5236435504572965,-1.469176683387798,-1.414709816318299,-1.3602429492488004,-1.3057760821793014,-1.2513092151098029,-1.1968423480403039,-1.1423754809708053,-1.0879086139013063,-1.0334417468318078,-0.9789748797623089,-0.9245080126928101,-0.8700411456233114,-0.8155742785538126,-0.7611074114843138,-0.706640544414815,-0.6521736773453163,-0.5977068102758175,-0.5432399432063187,-0.48877307613682,-0.4343062090673212,-0.37983934199782243,-0.32537247492832366,-0.2709056078588249,-0.21643874078932612,-0.16197187371982735,-0.10750500665032858,-0.05303813958082981,0.0014287274886689572,0.05589559455816773,0.1103624616276665,0.16482932869716527,0.21929619576666404,0.2737630628361628,0.3282299299056616,0.38269679697516024,0.437163664044659,0.491630531114158,0.5460973981836568,0.6005642652531553,0.6550311323226541,0.7094979993921531,0.7639648664616518,0.8184317335311504,0.8728986006006492,0.9273654676701482,0.9818323347396469,1.0362992018091455,1.0907660688786442,1.1452329359481432,1.199699803017642,1.2541666700871406,1.3086335371566393,1.3631004042261383,1.417567271295637,1.4720341383651356,1.5265010054346344,1.5809678725041334,1.6354347395736322,1.6899016066431307,1.7443684737126295,1.7988353407821285,1.8533022078516272,1.9077690749211258,1.9622359419906246,2.0167028090601233,2.0711696761296223,2.125636543199121,2.18010341026862,2.2345702773381184,2.2890371444076174,2.343504011477116,2.3979708785466145,2.4524377456161135,2.5069046126856125,2.561371479755111,2.61583834682461,2.670305213894109,2.7247720809636076,2.779238948033106,2.8337058151026047,2.8881726821721037,2.9426395492416026,2.997106416311101,3.0515732833806,3.106040150450099,3.1605070175195977,3.2149738845890963,3.269440751658595,3.323907618728094,3.378374485797593,3.4328413528670914,3.4873082199365903,3.5417750870060893,3.596241954075588,3.6507088211450864,3.705175688214585,3.759642555284084,3.814109422353583
prs,cad,-3.7502250151360292,-3.666844376133346,-3.5834637371306632,-3.5000830981279805,-3.4167024591252972,-3.3333218201226145,-3.2499411811199312,-3.1665605421172485,-3.0831799031145657,-2.9997992641118825,-2.9164186251091997,-2.8330379861065165,-2.7496573471038337,-2.6662767081011505,-2.5828960690984677,-2.499515430095785,-2.4161347910931017,-2.332754152090419,-2.2493735130877357,-2.165992874085053,-2.08261223508237,-1.9992315960796871,-1.9158509570770041,-1.832470318074321,-1.7490896790716381,-1.6657090400689551,-1.5823284010662721,-1.4989477620635894,-1.4155671230609064,-1.3321864840582234,-1.2488058450555404,-1.1654252060528574,-1.0820445670501746,-0.9986639280474916,-0.9152832890448086,-0.8319026500421256,-0.7485220110394426,-0.6651413720367598,-0.5817607330340768,-0.4983800940313938,-0.41499945502871083,-0.33161881602602783,-0.24823817702334505,-0.16485753802066205,-0.08147689901797905,0.001903739984703945,0.08528437898738694,0.16866501799006994,0.25204565699275294,0.3354262959954357,0.4188069349981185,0.5021875740008017,0.5855682130034849,0.6689488520061677,0.7523294910088505,0.8357101300115333,0.9190907690142165,1.0024714080168997,1.0858520470195825,1.1692326860222653,1.252613325024948,1.3359939640276313,1.4193746030303145,1.5027552420329973,1.58613588103568,1.6695165200383628,1.752897159041046,1.8362777980437293,1.919658437046412,2.003039076049095,2.0864197150517776,2.169800354054461,2.253180993057144,2.336561632059827,2.4199422710625096,2.5033229100651924,2.5867035490678756,2.670084188070559,2.7534648270732416,2.8368454660759244,2.920226105078607,3.0036067440812904,3.0869873830839736,3.1703680220866564,3.253748661089339,3.337129300092022,3.420509939094705,3.5038905780973884,3.587271217100071,3.670651856102754,3.7540324951054367,3.83741313410812,3.920793773110803,4.0041744121134855,4.087555051116169,4.170935690118852,4.254316329121535,4.3376969681242175,4.421077607126901,4.504458246129584
prs,stroke,-3.5539862356695755,-3.4782821222324865,-3.402578008795397,-3.326873895358308,-3.2511697819212184,-3.1754656684841294,-3.0997615550470403,-3.0240574416099513,-2.9483533281728618,-2.8726492147357723,-2.7969451012986832,-2.721240987861594,-2.645536874424505,-2.569832760987416,-2.4941286475503266,-2.418424534113237,-2.342720420676148,-2.267016307239059,-2.19131219380197,-2.115608080364881,-2.0399039669277914,-1.9641998534907024,-1.8884957400536129,-1.8127916266165238,-1.7370875131794348,-1.6613833997423453,-1.5856792863052562,-1.509975172868167,-1.4342710594310777,-1.3585669459939886,-1.2828628325568994,-1.20715871911981,-1.131454605682721,-1.0557504922456318,-0.9800463788085425,-0.9043422653714535,-0.8286381519343642,-0.7529340384972749,-0.6772299250601859,-0.6015258116230966,-0.5258216981860073,-0.4501175847489183,-0.374413471311829,-0.29870935787473973,-0.22300524443765068,-0.1473011310005614,-0.07159701756347214,0.004107095873616906,0.07981120931070618,0.15551532274779545,0.23121943618488472,0.306923549621974,0.38262766305906304,0.4583317764961521,0.5340358899332411,0.6097400033703306,0.6854441168074201,0.7611482302445092,0.8368523436815982,0.9125564571186873,0.9882605705557763,1.0639646839928658,1.1396687974299553,1.2153729108670444,1.2910770243041334,1.3667811377412225,1.442485251178312,1.5181893646154014,1.5938934780524905,1.6695975914895795,1.7453017049266686,1.8210058183637576,1.8967099318008471,1.9724140452379366,2.0481181586750257,2.1238222721121147,2.1995263855492038,2.275230498986293,2.3509346124233823,2.426638725860472,2.502342839297561,2.57804695273465,2.653751066171739,2.729455179608828,2.8051592930459175,2.880863406483007,2.956567519920096,3.032271633357185,3.107975746794274,3.183679860231363,3.2593839736684527,3.335088087105542,3.410792200542631,3.4864963139797203,3.5622004274168093,3.6379045408538984,3.713608654290988,3.7893127677280773,3.8650168811651664,3.9407209946022554
prs,hf,-3.7555370322539847,-3.672638790362813,-3.5897405484716414,-3.50684230658047,-3.423944064689299,-3.3410458227981272,-3.2581475809069556,-3.1752493390157843,-3.0923510971246126,-3.0094528552334414,-2.9265546133422697,-2.8436563714510985,-2.760758129559927,-2.677859887668755,-2.594961645777584,-2.5120634038864122,-2.429165161995241,-2.3462669201040693,-2.263368678212898,-2.1804704363217264,-2.0975721944305548,-2.0146739525393835,-1.9317757106482119,-1.8488774687570406,-1.765979226865869,-1.6830809849746975,-1.600182743083526,-1.5172845011923546,-1.4343862593011831,-1.3514880174100117,-1.2685897755188402,-1.1856915336276688,-1.102793291736497,-1.0198950498453256,-0.9369968079541542,-0.8540985660629827,-0.7712003241718113,-0.6883020822806398,-0.6054038403894684,-0.5225055984982969,-0.43960735660712547,-0.3567091147159538,-0.27381087282478234,-0.19091263093361088,-0.10801438904243943,-0.025116147151267976,0.05778209473990348,0.14068033663107493,0.2235785785222466,0.30647682041341806,0.3893750623045893,0.47227330419576097,0.5551715460869326,0.6380697879781039,0.7209680298692751,0.8038662717604468,0.8867645136516185,0.9696627555427897,1.0525609974339614,1.135459239325133,1.2183574812163043,1.3012557231074755,1.3841539649986472,1.4670522068898189,1.54995044878099,1.6328486906721618,1.7157469325633334,1.7986451744545047,1.881543416345676,1.9644416582368476,2.0473399001280193,2.1302381420191905,2.213136383910362,2.296034625801534,2.378932867692705,2.4618311095838763,2.544729351475048,2.6276275933662196,2.710525835257391,2.793424077148562,2.876322319039734,2.9592205609309055,3.0421188028220767,3.1250170447132484,3.20791528660442,3.2908135284955913,3.3737117703867625,3.456610012277934,3.539508254169106,3.622406496060277,3.7053047379514488,3.7882029798426204,3.8711012217337917,3.953999463624963,4.036897705516134,4.119795947407306,4.2026941892984775,4.285592431189649,4.36849067308082,4.451388914971991
prs,af,-3.900528945706565,-3.81880641510754,-3.7370838845085146,-3.65536135390949,-3.573638823310465,-3.4919162927114398,-3.4101937621124145,-3.32847123151339,-3.246748700914365,-3.1650261703153397,-3.0833036397163145,-3.00158110911729,-2.919858578518265,-2.8381360479192397,-2.7564135173202153,-2.67469098672119,-2.592968456122165,-2.5112459255231396,-2.4295233949241153,-2.34780086432509,-2.266078333726065,-2.1843558031270405,-2.1026332725280152,-2.02091074192899,-1.9391882113299652,-1.8574656807309402,-1.7757431501319152,-1.6940206195328902,-1.6122980889338652,-1.5305755583348402,-1.4488530277358151,-1.3671304971367901,-1.2854079665377653,-1.2036854359387403,-1.1219629053397153,-1.0402403747406903,-0.9585178441416653,-0.8767953135426403,-0.7950727829436153,-0.7133502523445903,-0.6316277217455653,-0.5499051911465405,-0.46818266054751545,-0.38646012994849044,-0.3047375993494654,-0.22301506875044042,-0.1412925381514154,-0.05957000755239039,0.022152523046634398,0.10387505364565941,0.18559758424468464,0.26732011484370943,0.3490426454427342,0.43076517604175946,0.5124877066407847,0.5942102372398095,0.6759327678388343,0.7576552984378595,0.8393778290368843,0.9211003596359091,1.0028228902349343,1.0845454208339596,1.1662679514329843,1.2479904820320091,1.3297130126310344,1.4114355432300592,1.493158073829084,1.5748806044281092,1.6566031350271344,1.7383256656261592,1.820048196225184,1.9017707268242092,1.983493257423234,2.065215788022259,2.146938318621284,2.2286608492203093,2.310383379819334,2.392105910418359,2.473828441017384,2.5555509716164093,2.637273502215434,2.718996032814459,2.800718563413484,2.882441094012509,2.9641636246115337,3.045886155210559,3.127608685809584,3.209331216408609,3.2910537470076338,3.372776277606659,3.454498808205684,3.5362213388047086,3.617943869403734,3.699666400002759,3.781388930601784,3.8631114612008086,3.944833991799834,4.026556522398859,4.108279052997884,4.190001583596908
prs,pad,-3.5218075107094546,-3.437565232895308,-3.3533229550811616,-3.269080677267015,-3.1848383994528686,-3.100596121638722,-3.0163538438245756,-2.932111566010429,-2.8478692881962826,-2.763627010382136,-2.6793847325679896,-2.5951424547538435,-2.510900176939697,-2.4266578991255505,-2.342415621311404,-2.2581733434972575,-2.173931065683111,-2.0896887878689645,-2.005446510054818,-1.9212042322406713,-1.8369619544265248,-1.7527196766123783,-1.6684773987982318,-1.5842351209840855,-1.499992843169939,-1.4157505653557925,-1.331508287541646,-1.2472660097274995,-1.163023731913353,-1.0787814540992064,-0.99453917628506,-0.9102968984709134,-0.8260546206567669,-0.7418123428426204,-0.6575700650284739,-0.5733277872143274,-0.4890855094001809,-0.4048432315860344,-0.3206009537718879,-0.2363586759577414,-0.1521163981435949,-0.0678741203294484,0.01636815748469811,0.10061043529884461,0.18485271311299112,0.2690949909271376,0.3533372687412841,0.4375795465554304,0.5218218243695767,0.6060641021837232,0.6903063799978697,0.7745486578120162,0.8587909356261627,0.9430332134403092,1.0272754912544557,1.1115177690686022,1.1957600468827487,1.2800023246968952,1.3642446025110417,1.4484868803251882,1.5327291581393347,1.6169714359534813,1.7012137137676278,1.7854559915817743,1.8696982693959208,1.9539405472100673,2.0381828250242138,2.1224251028383603,2.206667380652507,2.2909096584666533,2.3751519362808,2.4593942140949463,2.543636491909093,2.6278787697232393,2.712121047537386,2.7963633253515323,2.880605603165679,2.9648478809798253,3.049090158793972,3.1333324366081183,3.217574714422265,3.3018169922364113,3.386059270050558,3.4703015478647044,3.554543825678851,3.6387861034929974,3.723028381307144,3.8072706591212904,3.891512936935437,3.975755214749584,4.05999749256373,4.144239770377877,4.228482048192023,4.31272432600617,4.3969666038203155,4.481208881634461,4.565451159448608,4.649693437262754,4.733935715076901,4.818177992891048
